7,Nitish Rana,MI,bat,17,15,1,437,70,31.21,339,128.91,0,0,4,31,25
10,Nathu Singh,MI,bat,2,0,0,0,0,0,0,0,0,0,0,0,0
10,Jagadeesha Suchith,MI,bat,14,6,5,48,34,48,32,150,0,0,0,4,2
5,Gautam Gambhir,KKR,bat,148,147,16,4133,93,31.55,3316,124.64,0,0,35,483,58
10,John Hastings,KKR,bat,3,0,0,0,0,0,0,0,0,0,0,0,0
10,Jason Holder,KKR,bat,11,5,0,38,16,7.6,31,122.58,0,0,0,4,2
10,Kuldeep Yadav,KKR,bat,15,2,0,20,16,10,22,90.91,0,0,0,2,0
10,Colin Munro,KKR,bat,4,3,0,30,16,10,30,100,0,0,0,3,0
3,Manish Pandey,KKR,bat,103,96,18,2215,114,28.4,1844,120.12,1,0,9,196,64
10,Ankit Rajpoot,KKR,bat,11,2,1,6,4,6,13,46.15,0,0,0,1,0
11,Rajagopal Sathish,KKR,bat,34,25,8,270,27,15.88,231,116.88,0,0,0,22,6
10,Jaydev Unadkat,KKR,bat,47,6,5,5,2,5,13,38.46,0,0,0,0,0
7,Suryakumar Yadav,KKR,bat,55,42,14,608,60,21.71,465,130.75,0,0,1,54,21
7,Piyush Chawla,KKR,bat,129,69,27,515,24,12.26,453,113.69,0,0,0,49,15
10,Brad Hogg,KKR,bat,21,6,3,22,13,7.33,22,100,0,0,0,1,0
10,Sheldon Jackson,KKR,bat,4,3,1,38,16,19,31,122.58,0,0,0,5,0
11,Chris Lynn,KKR,bat,12,12,2,384,93,38.4,243,158.02,0,0,3,31,23
1,Morne Morkel,KKR,bat,70,23,12,126,23,11.45,90,140,0,0,0,11,5
11,Sunil Narine,KKR,bat,82,32,12,271,54,13.55,184,147.28,0,0,1,36,12
6,Yusuf Pathan,KKR,bat,149,133,35,2904,100,29.63,1996,145.49,1,0,13,239,146
7,Andre Russell,KKR,bat,34,25,3,574,66,26.09,331,173.41,0,0,3,48,37
7,Shakib Al Hasan,KKR,bat,43,32,9,498,66,21.65,382,130.37,0,0,2,44,15
2,Robin Uthappa,KKR,bat,149,143,15,3778,87,29.52,2870,131.64,0,0,22,377,125
1,Umesh Yadav,KKR,bat,94,25,18,94,24,13.43,90,104.44,0,0,0,8,3
